ID,Section,Label,Country,Year,Value,Flag,Breakdown,,
ECEC1,ECEC,Shares of children in formal ECEC ,EU27,2015,86.9,,Children aged 3 up to compulsory school age,,Children aged 3 up to compulsory school age
ECEC1,ECEC,Shares of children in formal ECEC ,Belgium,2015,98.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Bulgaria,2015,75.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Czechia,2015,83,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Denmark,2015,98,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Germany,2015,89.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Estonia,2015,94.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Ireland,2015,87.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Greece,2015,77,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Spain,2015,93.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,France,2015,95.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Croatia,2015,60.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Italy,2015,89.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Cyprus,2015,87.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Latvia,2015,88.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Lithuania,2015,77.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Luxembourg,2015,87.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2015,92.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2015,92.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2015,94.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2015,88.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2015,53.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2015,92.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2015,65,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2015,92.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovakia,2015,72.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Finland,2015,84.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Sweden,2015,96.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,EU27,2016,89.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Belgium,2016,99.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Bulgaria,2016,78.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Czechia,2016,84.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Denmark,2016,96.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Germany,2016,91.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Estonia,2016,93.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Ireland,2016,88.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Greece,2016,66.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Spain,2016,96.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,France,2016,95.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Croatia,2016,61.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Italy,2016,94.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Cyprus,2016,85.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Latvia,2016,85.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Lithuania,2016,81.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Luxembourg,2016,91.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2016,90.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2016,91.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2016,95.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2016,91.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2016,70.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2016,93.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2016,66.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2016,91.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovakia,2016,71.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Finland,2016,85.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Sweden,2016,97.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,EU27,2017,89.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Belgium,2017,99.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Bulgaria,2017,69.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Czechia,2017,84.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Denmark,2017,95,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Germany,2017,87.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Estonia,2017,95.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Ireland,2017,92.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Greece,2017,89.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Spain,2017,96.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,France,2017,96.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Croatia,2017,64.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Italy,2017,91.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Cyprus,2017,88.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Latvia,2017,89.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Lithuania,2017,80.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Luxembourg,2017,93.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2017,84.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2017,94.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2017,96.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2017,88,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2017,75.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2017,94.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2017,65.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2017,95.2,,Children aged 3 up to compulsory school age,,
