Question,Country,Filters,Responses,Result
"Without income, length of time household could maintain the same standard of living using savings",Austria,Men,No savings ,15.6424581
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Men,No savings ,24.06015038
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Men,No savings ,18.50220264
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Men,No savings ,38.55421687
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Men,No savings ,28.26666667
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Men,No savings ,14.97175141
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Men,No savings ,17.54807692
"Without income, length of time household could maintain the same standard of living using savings",European Union,Men,No savings ,23.25454048
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Men,No savings ,39.75308642
"Without income, length of time household could maintain the same standard of living using savings",Finland,Men,No savings ,33.57400722
"Without income, length of time household could maintain the same standard of living using savings",France,Men,No savings ,16.54676259
"Without income, length of time household could maintain the same standard of living using savings",Germany,Men,No savings ,15.19230769
"Without income, length of time household could maintain the same standard of living using savings",Greece,Men,No savings ,30
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Men,No savings ,24.20382166
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Men,No savings ,14.90467938
"Without income, length of time household could maintain the same standard of living using savings",Italy,Men,No savings ,12.83783784
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Men,No savings ,39.46488294
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Men,No savings ,28.76254181
"Without income, length of time household could maintain the same standard of living using savings",Luxembourg,Men,No savings ,10.37735849
"Without income, length of time household could maintain the same standard of living using savings",Malta,Men,No savings ,14.48275862
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Men,No savings ,17.11409396
"Without income, length of time household could maintain the same standard of living using savings",Poland,Men,No savings ,21.35231317
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Men,No savings ,21.80851064
"Without income, length of time household could maintain the same standard of living using savings",Romania,Men,No savings ,19.56521739
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Men,No savings ,20.82111437
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Men,No savings ,26.60818713
"Without income, length of time household could maintain the same standard of living using savings",Spain,Men,No savings ,12.56410256
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Men,No savings ,22.2737819
"Without income, length of time household could maintain the same standard of living using savings",Austria,Men - 55 and over,No savings ,17.5
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Men - 55 and over,No savings ,19.83122363
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Men - 55 and over,No savings ,15.51724138
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Men - 55 and over,No savings ,34.42622951
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Men - 55 and over,No savings ,16.23931624
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Men - 55 and over,No savings ,8.860759494
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Men - 55 and over,No savings ,13.52313167
"Without income, length of time household could maintain the same standard of living using savings",European Union,Men - 55 and over,No savings ,19.80048937
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Men - 55 and over,No savings ,35
"Without income, length of time household could maintain the same standard of living using savings",Finland,Men - 55 and over,No savings ,25.44802867
"Without income, length of time household could maintain the same standard of living using savings",France,Men - 55 and over,No savings ,16.16766467
"Without income, length of time household could maintain the same standard of living using savings",Germany,Men - 55 and over,No savings ,17.31601732
"Without income, length of time household could maintain the same standard of living using savings",Greece,Men - 55 and over,No savings ,28.96764253
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Men - 55 and over,No savings ,23.85057471
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Men - 55 and over,No savings ,11.49425287
"Without income, length of time household could maintain the same standard of living using savings",Italy,Men - 55 and over,No savings ,11.26760563
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Men - 55 and over,No savings ,40.36697248
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Men - 55 and over,No savings ,24.7706422
"Without income, length of time household could maintain the same standard of living using savings",Luxembourg,Men - 55 and over,No savings ,9.259259259
"Without income, length of time household could maintain the same standard of living using savings",Malta,Men - 55 and over,No savings ,6.666666667
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Men - 55 and over,No savings ,16.66666667
"Without income, length of time household could maintain the same standard of living using savings",Poland,Men - 55 and over,No savings ,19.73684211
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Men - 55 and over,No savings ,16.7539267
"Without income, length of time household could maintain the same standard of living using savings",Romania,Men - 55 and over,No savings ,17.88990826
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Men - 55 and over,No savings ,15.86206897
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Men - 55 and over,No savings ,25.89928058
"Without income, length of time household could maintain the same standard of living using savings",Spain,Men - 55 and over,No savings ,10.95238095
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Men - 55 and over,No savings ,15.54621849
"Without income, length of time household could maintain the same standard of living using savings",Austria,Women,No savings ,17.16621253
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Women,No savings ,21.50706436
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Women,No savings ,30.67729084
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Women,No savings ,46.20462046
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Women,No savings ,37.60445682
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Women,No savings ,24.71698113
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Women,No savings ,28.0733945
"Without income, length of time household could maintain the same standard of living using savings",European Union,Women,No savings ,31.50917913
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Women,No savings ,44.57564576
"Without income, length of time household could maintain the same standard of living using savings",Finland,Women,No savings ,45.80265096
"Without income, length of time household could maintain the same standard of living using savings",France,Women,No savings ,24.10147992
"Without income, length of time household could maintain the same standard of living using savings",Germany,Women,No savings ,17.75431862
"Without income, length of time household could maintain the same standard of living using savings",Greece,Women,No savings ,40.86378738
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Women,No savings ,33.8836478
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Women,No savings ,18.14946619
"Without income, length of time household could maintain the same standard of living using savings",Italy,Women,No savings ,20.43551089
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Women,No savings ,46.69703872
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Women,No savings ,33.24287653
"Without income, length of time household could maintain the same standard of living using savings",Luxembourg,Women,No savings ,13.95348837
"Without income, length of time household could maintain the same standard of living using savings",Malta,Women,No savings ,15.22633745
