survey,variable,question_label
EWCSR1,id,respondent id
EWCSR1,hh1,hh1.How many people live in this household?
EWCSR1,hh2a,hh2a. Sex - Respondent
EWCSR1,hh2b,hh2b. Age - Respondent
EWCSR1,hh2d,hh2d. Economic status - Respondent
EWCSR1,hh3_2a,hh3_2a. Sex - Person 2.
EWCSR1,hh3_2b,hh3_2b. Age - Person 2.
EWCSR1,hh3_2c,hh3_2c. Relationship to respondent - Person 2.
EWCSR1,hh3_2d,hh3_2d. Economic status - Person 2.
EWCSR1,hh3_3a,hh3_3a. Sex - Person 3.
EWCSR1,hh3_3b,hh3_3b. Age - Person 3.
EWCSR1,hh3_3c,hh3_3c. Relationship to respondent - Person 3.
EWCSR1,hh3_3d,hh3_3d. Economic status - Person 3.
EWCSR1,hh3_4a,hh3_4a. Sex - Person 4.
EWCSR1,hh3_4b,hh3_4b. Age - Person 4.
EWCSR1,hh3_4c,hh3_4c. Relationship to respondent - Person 4.
EWCSR1,hh3_4d,hh3_4d. Economic status - Person 4.
EWCSR1,hh3_5a,hh3_5a. Sex - Person 5.
EWCSR1,hh3_5b,hh3_5b. Age - Person 5.
EWCSR1,hh3_5c,hh3_5c. Relationship to respondent - Person 5.
EWCSR1,hh3_5d,hh3_5d. Economic status - Person 5.
EWCSR1,hh3_6a,hh3_6a. Sex - Person 6.
EWCSR1,hh3_6b,hh3_6b. Age - Person 6.
EWCSR1,hh3_6c,hh3_6c. Relationship to respondent - Person 6.
EWCSR1,hh3_6d,hh3_6d. Economic status - Person 6.
EWCSR1,hh3_7a,hh3_7a. Sex - Person 7.
EWCSR1,hh3_7b,hh3_7b. Age - Person 7.
EWCSR1,hh3_7c,hh3_7c. Relationship to respondent - Person 7.
EWCSR1,hh3_7d,hh3_7d. Economic status - Person 7.
EWCSR1,hh3_8a,hh3_8a. Sex - Person 8.
EWCSR1,hh3_8b,hh3_8b. Age - Person 8.
EWCSR1,hh3_8c,hh3_8c. Relationship to respondent - Person 8.
EWCSR1,hh3_8d,hh3_8d. Economic status - Person 8.
EWCSR1,hh3_9a,hh3_9a. Sex - Person 9.
EWCSR1,hh3_9b,hh3_9b. Age - Person 9.
EWCSR1,hh3_9c,hh3_9c. Relationship to respondent - Person 9.
EWCSR1,hh3_9d,hh3_9d. Economic status - Person 9.
EWCSR1,hh3_10a,hh3_10a. Sex - Person 10.
EWCSR1,hh3_10b,hh3_10b. Age - Person 10.
EWCSR1,hh3_10c,hh3_10c. Relationship to respondent - Person 10.
EWCSR1,hh3_10d,hh3_10d. Economic status - Person 10.
EWCSR1,q1a,Q1a. Are you a citizen of  country?
EWCSR1,q1b,q1b. Are you a citizen of ?
EWCSR1,q2a,q2a. What is the title of your main paid job?
EWCSR1,q2b,q2b. How old were you when you stopped full-time education?
EWCSR1,q2c,q2c. How many years have you been in paid employment since the age at which you stopped full-time education?
EWCSR1,q2d,q2d. How many years have you been in your company or organisation?
EWCSR1,q3a,q3a. Are you mainly ... ?
EWCSR1,q3b,q3b. What kind of employment contract do you have?
EWCSR1,q3c_1,q3c_1. What is the exact duration of the contract in number of years?
EWCSR1,q3c_2,q3c_2. What is the exact duration of the contract in number of months?
EWCSR1,q4,q4. What is the main activity of the company or organisation where you work?
EWCSR1,q5,q5. Are you working in the ?
EWCSR1,q6,q6. How many people in total work in the local unit of the establishment where you work?
EWCSR1,q7,q7. How many people work under your supervision?
EWCSR1,q8a,q8a. How many hours do you usually work per week in your main paid job?
EWCSR1,q8b,q8b. How many days per week do you usually work in your main paid job?
EWCSR1,q9a,"q9a. Besides your main paid job, do you have any other paid job(s)?"
EWCSR1,q9b,q9b. How many hours a week on average do you work in job(s) other than your main paid job?
EWCSR1,q10a,"q10a. Are you exposed at work to - vibrations from hand tools, machinery, etc.?"
EWCSR1,q10b,q10b. Are you exposed at work to - noise so loud that you would have to raise your voice to talk to people?
EWCSR1,q10c,q10c. Are you exposed at work to - high temperatures which make you perspire even when not working?
EWCSR1,q10d,q10d. Are you exposed at work to - low temperatures whether indoors or outdoors?
EWCSR1,q10e,"q10e. Are you exposed at work to - breathing in smoke, fumes, powder or dust etc.?"
EWCSR1,q10f,q10f. Are you exposed at work to - breathing in vapours such as solvents and thinners?
EWCSR1,q10g,q10g. Are you exposed at work to - handling or being in skin contact with chemical products or  substances?
EWCSR1,q10h,"q10h. Are you exposed at work to - radiation such as X rays, radioactive radiation, welding light, laser beams?"
EWCSR1,q10i,q10i. Are you exposed at work to - tobacco smoke from other people?
EWCSR1,q10j,q10j. Are you exposed at work to - handling or being in direct contact with materials which can be infectious?
EWCSR1,q11a,q11a. Does your main paid job involve - tiring or painful positions?
EWCSR1,q11b,q11b. Does your main paid job involve - lifting or moving people?
EWCSR1,q11c,q11c. Does your main paid job involve - carrying or moving heavy loads?
EWCSR1,q11d,q11d. Does your main paid job involve - standing or walking?
EWCSR1,q11e,q11e. Does your main paid job involve - repetitive hand or arm movements?
EWCSR1,q11f,q11f. Does your main paid job involve - working at company/organisation premise?
EWCSR1,q11g,q11g. Does your main paid job involve - teleworking from home with a PC?
EWCSR1,q11h,"q11h. Does your main paid job involve - working at home, excluding telework?"
EWCSR1,q11i,q11i. Does your main paid job involve - working in places other than home or company/organisation premises?
EWCSR1,q11j,q11j. Does your main paid job involve - dealing directly with people who are not employees at your workplace?
EWCSR1,q11k,"q11k. Does your main paid job involve - working with computers: PCs, network, mainframe?"
EWCSR1,q11l,q11l. Does your main paid job involve - using internet/email for professional purposes?
EWCSR1,q11m,q11m. Does your main paid job involve - wearing personal protective clothing or equipment?
EWCSR1,q12,"q12. Regarding the health and safety risks related to performance of your job, how well informed would you say you are?"
EWCSR1,q13,"q13. In total, how many minutes per day do you normally spend travelling from home to work and back?"
EWCSR1,q14a,"q14a. Normally, how many times a month do you work at night, for at least 2 hours?"
EWCSR1,q14b,"q14b. How many times a month do you work in the evening, for at least 2 hours?"
EWCSR1,q14c,q14c. How many times a month do you work on Sundays?
EWCSR1,q14d,q14d. How many times a month do you work on Saturdays?
EWCSR1,q14e,q14e. How many times a month do you work more than 10 hours a day?
EWCSR1,q15a,q15a. Do you work part-time or full-time?
EWCSR1,q15b,q15b. Would you like to work...?
EWCSR1,q16a_a,q16a_a. Do you work the same number of hours every day?
EWCSR1,q16a_b,q16a_b. Do you work the same number of days every week?
EWCSR1,q16a_c,q16a_c. Do you work fixed starting and finishing times?
EWCSR1,q16a_d,q16a_d. Do you work shifts?
EWCSR1,q16b,q16b. Do you work ...?
EWCSR1,q17a,q17a. How are your working time arrangements set?
EWCSR1,q17b,q17b. Do changes to your work schedule occur regularly? (IF YES) How long before are you informed about these changes?
EWCSR1,q18,"q18. Do your working hours fit in with your family or social commitments outside work very well, well, not very well or not at all well?"
EWCSR1,q19,"q19. In the past twelve months, have you been contacted in matters concerning your main paid job outside your normal working hours?"
EWCSR1,q20a_a,q20a_a. Does your job involve short repetitive tasks of less than 1 minute?
EWCSR1,q20a_b,q20a_b. Does your job involve short repetitive tasks of less than 10 minutes?
EWCSR1,q20b_a,q20b_a. Does your job involve working at very high speed?
EWCSR1,q20b_b,q20b_b. Does your job involve working to tight deadlines?
EWCSR1,q21a,q21a. Is your pace of work dependent on the work done by colleagues?
EWCSR1,q21b,q21b. Is your pace of work dependent on direct demands from people?
EWCSR1,q21c,q21c. Is your pace of work dependent on numerical production targets or performance targets?
EWCSR1,q21d,q21d. Is your pace of work dependent on automatic speed of a machine or movement of a product?
EWCSR1,q21e,q21e. Is your pace of work dependent on the direct control of your boss?
EWCSR1,q22a,q22a. How often do you have to interrupt a task you are doing in order to take on an unforeseen task?
EWCSR1,q22b,"q22b. For your work, are these interruptions ..."
EWCSR1,q23a,q23a. Does your main paid job involve: meeting precise quality standards?
EWCSR1,q23b,q23b. Does your main paid job involve: assessing yourself the quality of your own work?
EWCSR1,q23c,q23c. Does your main paid job involve: solving unforeseen problems on your own?
EWCSR1,q23d,q23d. Does your main paid job involve: monotonous tasks?
EWCSR1,q23e,q23e. Does your main paid job involve: complex tasks?
EWCSR1,q23f,q23f. Does your main paid job involve: learning new things?
EWCSR1,q24a,q24a. Are you able to choose or change your order of tasks?
EWCSR1,q24b,q24b. Are you able to choose or change your methods of work?
EWCSR1,q24c,q24c. Are you able to choose or change your speed or rate of work?
EWCSR1,q25a,q25a. You can get assistance from colleagues if you ask for it.
EWCSR1,q25b,q25b. You can get assistance from your superiors/boss if you ask for it.
EWCSR1,q25c,q25c. You can get external assistance if you ask for it.
EWCSR1,q25d,q25d. You have influence over the choice of your working partners.
EWCSR1,q25e,q25e. You can take your break when you wish.
EWCSR1,q25f,q25f. You have enough time to get the job done.
EWCSR1,q25g,q25g. You are free to decide when to take holidays or days off.
EWCSR1,q25h,"q25h. At work, you have the opportunity to do what you do best."
EWCSR1,q25i,q25i. Your job gives you the feeling of work well done.
EWCSR1,q25j,q25j. You are able to apply your own ideas in your work.
EWCSR1,q25k,q25k. You have the feeling of doing useful work.
EWCSR1,q25l,q25l. You find your job intellectually demanding.
EWCSR1,q25m,q25m. You find your job emotionally demanding.
EWCSR1,q26a,q26a. Does your job involve rotating tasks between yourself and colleagues?
EWCSR1,q26a_1,q26a_1. Do the tasks require different skills?
EWCSR1,q26a_2a,q26a_2a. Your boss/manager decides the division of the tasks?
EWCSR1,q26a_2b,q26a_2b. Decided by people the division of the tasks who are rotating tasks?
EWCSR1,q26b,q26b. Does your job involve doing all or part of your work in a team?
EWCSR1,q26b_1a,q26b_1a. Do the members of the team decide by themselves on the division of tasks?
EWCSR1,q26b_1b,q26b_1b. Do the members of the team decide by themselves who will be head of the team?
EWCSR1,q27,q27. Which of the following alternatives would best describe your skills in your own work?
EWCSR1,q28a_1,"q28a_1. Have you undergone: Training paid for or provided by your employer, or by yourself if you are self-employed?"
EWCSR1,q28a_2,"q28a_2. Training paid for or provided by your employer, or by yourself if you are self-employed - number of days:"
EWCSR1,q28b_1,q28b_1. Have you undergone: Training paid for by yourself?
EWCSR1,q28b_2,q28b_2. Training paid for by yourself - number of days:
EWCSR1,q28c,q28c. Have you undergone: On-the-job training?
EWCSR1,q28d,q28d. Have you undergone: Other forms of on-site training and learning?
EWCSR1,q28e,q28e. Have you undergone: Other?
EWCSR1,q29a,q29a. Have you personally been subjected at work to threats of physical violence?
EWCSR1,q29b,q29b. Have you personally been subjected at work to physical violence from people from your workplace?
EWCSR1,q29c,q29c. Have you personally been subjected at work to physical violence from other people?
EWCSR1,q29d,q29d. Have you personally been subjected at work to bullying/harassment?
EWCSR1,q29e,q29e. Have you personally been subjected at work to sexual discrimination/discrimination linked to gender?
EWCSR1,q29f,q29f. Have you personally been subjected at work to unwanted sexual attention?
EWCSR1,q29g,q29g. Have you personally been subjected at work to age discrimination?
EWCSR1,q29h,q29h. Have you personally been subjected at work to discrimination linked to nationality?
EWCSR1,q29i,q29i. Have you personally been subjected at work to discrimination linked to ethnic background?
EWCSR1,q29j,q29j. Have you personally been subjected at work to discrimination linked to religion?
EWCSR1,q29k,q29k. Have you personally been subjected at work to discrimination linked to disability?
EWCSR1,q29l,q29l. Have you personally been subjected at work to discrimination linked to sexual orientation?
EWCSR1,q30a,q30a. Over the past 12 months have you had a frank discussion with your boss about your work performance?
EWCSR1,q30b,q30b. Over the past 12 months have you been consulted about changes in the organisation of work and/or your working conditions?
EWCSR1,q30c,q30c. Over the past 12 months have you been subject to regular formal assessment of your work performance?
EWCSR1,q30d,q30d. Over the past 12 months have you discussed work-related problems with your boss?
EWCSR1,q30e,q30e. Over the past 12 months have you discussed work-related problems with an employee representative?
EWCSR1,q31,q31. Is your immediate boss a man or a woman?
EWCSR1,q32,q32. Do you think your health or safety is at risk because of your work?
EWCSR1,q33,"q33. Does your work affect your health, or not?"
EWCSR1,q33a_a,q33a_a. Does your work affect your health: hearing problems?
EWCSR1,q33a_b,q33a_b. Does your work affect your health: problems with your vision?
EWCSR1,q33a_c,q33a_c. Does your work affect your health: skin problems?
EWCSR1,q33a_d,q33a_d. Does your work affect your health: backache?
EWCSR1,q33a_e,q33a_e. Does your work affect your health: headaches?
EWCSR1,q33a_f,q33a_f. Does your work affect your health: stomach ache?
EWCSR1,q33a_g,q33a_g. Does your work affect your health: muscular pains?
EWCSR1,q33a_h,q33a_h. Does your work affect your health: respiratory difficulties?
EWCSR1,q33a_i,q33a_i. Does your work affect your health: heart disease?
EWCSR1,q33a_j,q33a_j. Does your work affect your health: injury(ies)?
EWCSR1,q33a_k,q33a_k. Does your work affect your health: stress?
EWCSR1,q33a_l,q33a_l. Does your work affect your health: overall fatigue?
EWCSR1,q33a_m,q33a_m. Does your work affect your health: sleeping problems?
EWCSR1,q33a_n,q33a_n. Does your work affect your health: allergies?
EWCSR1,q33a_o,q33a_o. Does your work affect your health: anxiety?
EWCSR1,q33a_p,q33a_p. Does your work affect your health: irritability?
EWCSR1,q33a_q,q33a_q. Does your work affect your health: other?
EWCSR1,q34a_a,"q34a_a. In your main paid job, over the past twelve months, have you been absent for maternity or paternity leave?"
EWCSR1,q34a_b,"q34a_b. In your main paid job, over the past twelve months, have you been absent for educational leave?"
EWCSR1,q34a_c,"q34a_c. In your main paid job, over the past twelve months, have you been absent for family-related leave?"
EWCSR1,q34a_d,"q34a_d. In your main paid job, over the past twelve months, have you been absent for health problems?"
EWCSR1,q34a_e,"q34a_e. In your main paid job, over the past twelve months, have you been absent for other reasons?"
EWCSR1,q34b,q34b. Over the past 12 months how many days in total  were you absent from work for reasons of health problems?
EWCSR1,q34c_1,"q34c_1. Of the days of absence indicated above, how many days were attributable to accident(s) at work:"
EWCSR1,q34c_2,"q34c_2. Of the days of absence indicated above, how many days were attributable to health problems caused by your work:"
EWCSR1,q35,q35. Do you think you will be able to do the same job you are doing now when you are 60 years old?
EWCSR1,q36,"q36. Are you very satisfied, satisfied, not very satisfied or not at all satisfied with working conditions in your main paid job?"
EWCSR1,q37a,q37a. I might lose my job in the next 6 months.
EWCSR1,q37b,q37b. I am well paid for the work I do.
EWCSR1,q37c,q37c. My job offers good prospects for career advancement.
EWCSR1,q37d,q37d. I feel myself 'at home' in this organisation.
EWCSR1,q37e,"q37e. At work, I have opportunities to learn and grow."
EWCSR1,q37f,q37f. I have very good friends at work.
EWCSR1,ef1,ef1. What is the highest level of education that you have successfully completed?
EWCSR1,ef3,"ef3. Are you, in your household, the person who contributes most to the household income?"
EWCSR1,ef4a,ef4a. How often are you involved: Voluntary or charitable activity
EWCSR1,ef4.1a,ef4.1a. How many hours per day are you involved: Voluntary or charitable activity
EWCSR1,ef4b,ef4b. How often are you involved: Political/trade union activity
EWCSR1,ef4.1b,ef4.1b. How many hours per day are you involved: Political/trade union activity
EWCSR1,ef4c,ef4c. How often are you involved: Caring for and educating your children
EWCSR1,ef4.1c,ef4.1c. How many hours per day are you involved: Caring for and educating your children
EWCSR1,ef4d,ef4d. How often are you involved: Cooking and housework
EWCSR1,ef4.1d,ef4.1d. How many hours per day are you involved: Cooking and housework
