Topic,Indicator name,Top category,Country Name,Country Code,Category,Value,Count
Affordability,Housing cost overburden rate (>40% of income),agecat,Austria,AT,18-24,0.067250438,713
Affordability,Housing cost overburden rate (>40% of income),agecat,Austria,AT,25-39,0.06666752,2161
Affordability,Housing cost overburden rate (>40% of income),agecat,Austria,AT,40-65,0.052480433,4596
Affordability,Housing cost overburden rate (>40% of income),agecat,Austria,AT,65 plus,0.075966649,2840
Affordability,Housing cost overburden rate (>40% of income),agecat,Belgium,BE,18-24,0.051824056,1069
Affordability,Housing cost overburden rate (>40% of income),agecat,Belgium,BE,25-39,0.077563196,2445
Affordability,Housing cost overburden rate (>40% of income),agecat,Belgium,BE,40-65,0.073055111,4633
Affordability,Housing cost overburden rate (>40% of income),agecat,Belgium,BE,65 plus,0.1294358521699905,3268
Affordability,Housing cost overburden rate (>40% of income),agecat,Bulgaria,BG,18-24,0.114054374,957
Affordability,Housing cost overburden rate (>40% of income),agecat,Bulgaria,BG,25-39,0.097175799,2204
Affordability,Housing cost overburden rate (>40% of income),agecat,Bulgaria,BG,40-65,0.096661411,6721
Affordability,Housing cost overburden rate (>40% of income),agecat,Bulgaria,BG,65 plus,0.141104668,5919
Affordability,Housing cost overburden rate (>40% of income),agecat,Cyprus,CY,18-24,0.015957445,780
Affordability,Housing cost overburden rate (>40% of income),agecat,Cyprus,CY,25-39,0.043240089,1803
Affordability,Housing cost overburden rate (>40% of income),agecat,Cyprus,CY,40-65,0.02289803,3606
Affordability,Housing cost overburden rate (>40% of income),agecat,Cyprus,CY,65 plus,0.023777671,2616
Affordability,Housing cost overburden rate (>40% of income),agecat,Czechia,CZ,18-24,0.096753053,914
Affordability,Housing cost overburden rate (>40% of income),agecat,Czechia,CZ,25-39,0.088824689,2359
Affordability,Housing cost overburden rate (>40% of income),agecat,Czechia,CZ,40-65,0.074976742,5972
Affordability,Housing cost overburden rate (>40% of income),agecat,Czechia,CZ,65 plus,0.1243334710597992,5615
Affordability,Housing cost overburden rate (>40% of income),agecat,Denmark,DK,18-24,0.3377741575241089,796
Affordability,Housing cost overburden rate (>40% of income),agecat,Denmark,DK,25-39,0.1916262060403824,1669
Affordability,Housing cost overburden rate (>40% of income),agecat,Denmark,DK,40-65,0.1171766668558121,3690
Affordability,Housing cost overburden rate (>40% of income),agecat,Denmark,DK,65 plus,0.1661940962076187,4003
Affordability,Housing cost overburden rate (>40% of income),agecat,Estonia,EE,18-24,0.1351493299007416,922
Affordability,Housing cost overburden rate (>40% of income),agecat,Estonia,EE,25-39,0.084310867,1887
Affordability,Housing cost overburden rate (>40% of income),agecat,Estonia,EE,40-65,0.063629031,4389
Affordability,Housing cost overburden rate (>40% of income),agecat,Estonia,EE,65 plus,0.091254719,2825
Affordability,Housing cost overburden rate (>40% of income),agecat,Greece,EL,18-24,0.3396629691123962,1339
Affordability,Housing cost overburden rate (>40% of income),agecat,Greece,EL,25-39,0.316294253,2524
Affordability,Housing cost overburden rate (>40% of income),agecat,Greece,EL,40-65,0.2650786936283112,8427
Affordability,Housing cost overburden rate (>40% of income),agecat,Greece,EL,65 plus,0.272319108,7660
Affordability,Housing cost overburden rate (>40% of income),agecat,Spain,ES,18-24,0.066166446,4937
Affordability,Housing cost overburden rate (>40% of income),agecat,Spain,ES,25-39,0.1072990149259567,8997
Affordability,Housing cost overburden rate (>40% of income),agecat,Spain,ES,40-65,0.080517054,27858
Affordability,Housing cost overburden rate (>40% of income),agecat,Spain,ES,65 plus,0.058492091,13332
Affordability,Housing cost overburden rate (>40% of income),agecat,Finland,FI,18-24,0.1399224698543549,1476
